"std_name_p","species","genus","L1.name","L2.name","L3.name","L4.name"
"P. castaneae","Fagus hayatae","Fagus","Asia-Temperate","Eastern Asia","Taiwan","Taiwan"
"P. plurivora","Fagus orientalis","Fagus","Europe","Northern Europe","Great Britain","Great Britain"
"P. × cambivora","Fagus orientalis","Fagus","Asia-Temperate","Western Asia","Turkey","Turkey"
"P. plurivora","Fagus sylvatica","Fagus","Europe","Middle Europe","Poland","Poland"
"P. citricola","Fagus sylvatica","Fagus","Europe","Middle Europe","Poland","Poland"
"P. vulcanica","Fagus sylvatica","Fagus","Europe","Southeastern Europe","Italy","Italy"
"P. × cambivora","Fagus sylvatica","Fagus","Europe","Northern Europe","Norway","Norway"
"P. plurivora","Fagus sylvatica","Fagus","Europe","Middle Europe","Germany","Germany"
"P. plurivora","Fagus sylvatica","Fagus","Europe","Northern Europe","Great Britain","Great Britain"
"P. × cambivora","Fagus sylvatica","Fagus","Europe","Middle Europe","Belgium","Belgium"
"P. plurivora","Fagus sylvatica","Fagus","Europe","Southeastern Europe","Yugoslavia","Slovenia"
"P. psychrophila","Fagus sylvatica","Fagus","Europe","Middle Europe","Austria","Austria"
"P. pini","Fagus sylvatica","Fagus","Northern America","Northeastern U.S.A.","New York","New York"
"P. plurivora","Fagus sylvatica","Fagus","Europe","Middle Europe","Switzerland","Switzerland"
"P. × cambivora","Fagus sylvatica","Fagus","Europe","Middle Europe","Czechoslovakia","Slovakia"
"P. gonapodyides","Fagus sylvatica","Fagus","Europe","Middle Europe","Belgium","Belgium"
"P. kernoviae","Fagus sylvatica","Fagus","Europe","Northern Europe","Great Britain","Great Britain"
"P. syringae","Fagus sylvatica","Fagus","Europe","Northern Europe",NA,NA
"P. × cambivora","Fagus sylvatica","Fagus","Europe","Southeastern Europe","Sicilia","Sicilia"
"P. cactorum","Fagus sylvatica","Fagus","Europe","Southeastern Europe","Yugoslavia",NA
"P. syringae","Fagus sylvatica","Fagus","Europe","Northern Europe","Great Britain","Great Britain"
"P. gonapodyides","Fagus sylvatica","Fagus","Europe","Northern Europe","Sweden","Sweden"
"P. cinnamomi","Fagus sylvatica","Fagus","Europe","Northern Europe",NA,NA
"P. × cambivora","Fagus sylvatica","Fagus","Europe","Northern Europe","Sweden","Sweden"
"P. × cambivora","Fagus sylvatica","Fagus","Europe","Southwestern Europe","France","France"
"P. gonapodyides","Fagus sylvatica","Fagus","Europe","Middle Europe","Germany","Germany"
"P. plurivora","Fagus sylvatica","Fagus","Europe","Middle Europe","Austria","Austria"
"P. pseudosyringae","Fagus sylvatica","Fagus","Europe","Southwestern Europe","Spain","Spain"
"P. vulcanica","Fagus sylvatica","Fagus","Europe","Southeastern Europe","Sicilia","Sicilia"
"P. cactorum","Fagus sylvatica","Fagus","Europe","Middle Europe","Belgium","Belgium"
"P. × cambivora","Fagus sylvatica","Fagus","Europe","Middle Europe","Germany","Germany"
"P. plurivora","Fagus sylvatica","Fagus","Europe","Middle Europe","Czechoslovakia","Czech Republic"
"P. gregata","Fagus sylvatica","Fagus","Europe","Middle Europe","Czechoslovakia","Czech Republic"
"P. plurivora","Fagus sylvatica","Fagus","Europe","Northern Europe","Norway","Norway"
