"Phytophthora","Host","Level.4","Level.3","Level.2","Level.1","Total","PxH.in.Scotland"
"P. cinnamomi","Castanopsis","Papua New Guinea","New Guinea","Papuasia","Asia-Tropical",3,NA
"P. cinnamomi","Castanopsis","Taiwan","Taiwan","Eastern Asia","Asia-Temperate",11,NA
"P. cinnamomi","Castanopsis","Vietnam","Vietnam","Indo-China","Asia-Tropical",3,NA
"P. cinnamomi","Castanopsis",NA,"Japan","Eastern Asia","Asia-Temperate",1,NA
"P. cinnamomi","Casuarina",NA,NA,"Australia","Australasia",10,NA
"P. cinnamomi","Casuarina",NA,NA,"Brazil","Southern America",1,NA
"P. cinnamomi","Casuarina",NA,NA,"New Zealand","Australasia",12,NA
"P. cinnamomi","Casuarina",NA,NA,"Southern Africa","Africa",2,NA
"P. cinnamomi","Ceanothus","California","California","Southwestern U.S.A.","Northern America",1,NA
"P. cinnamomi","Ceanothus",NA,NA,"Australia","Australasia",1,NA
"P. cinnamomi","Cedrus","California","California","Southwestern U.S.A.","Northern America",5,NA
"P. cinnamomi","Cedrus","North Carolina","North Carolina","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Cedrus","Spain","Spain","Southwestern Europe","Europe",1,NA
"P. cinnamomi","Cedrus",NA,NA,"Southern Africa","Africa",2,NA
"P. cinnamomi","Cedrus",NA,NA,NA,"Northern America",6,NA
"P. cinnamomi","Centaurea",NA,NA,"Southern Africa","Africa",1,NA
"P. cinnamomi","Cephalotaxus",NA,NA,"Australia","Australasia",2,NA
"P. cinnamomi","Cephalotaxus",NA,NA,"New Zealand","Australasia",2,NA
"P. cinnamomi","Cephalotaxus",NA,NA,NA,"Northern America",1,NA
"P. cinnamomi","Ceratopetalum",NA,NA,"Australia","Australasia",2,NA
"P. cinnamomi","Cercis","North Carolina","North Carolina","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Cercis",NA,NA,NA,"Northern America",1,NA
"P. cinnamomi","Chamaecyparis","California","California","Southwestern U.S.A.","Northern America",2,"Yes"
"P. cinnamomi","Chamaecyparis","Croatia","Yugoslavia","Southeastern Europe","Europe",3,"Yes"
"P. cinnamomi","Chamaecyparis","France","France","Southwestern Europe","Europe",1,"Yes"
"P. cinnamomi","Chamaecyparis","Hungary","Hungary","Middle Europe","Europe",7,"Yes"
"P. cinnamomi","Chamaecyparis","Iran","Iran","Western Asia","Asia-Temperate",1,"Yes"
"P. cinnamomi","Chamaecyparis","Ireland","Ireland","Northern Europe","Europe",1,"Yes"
"P. cinnamomi","Chamaecyparis","Louisiana","Louisiana","Southeastern U.S.A.","Northern America",1,"Yes"
"P. cinnamomi","Chamaecyparis","Netherlands","Netherlands","Middle Europe","Europe",1,"Yes"
"P. cinnamomi","Chamaecyparis","Oregon","Oregon","Northwestern U.S.A.","Northern America",3,"Yes"
"P. cinnamomi","Chamaecyparis","Poland","Poland","Middle Europe","Europe",2,"Yes"
"P. cinnamomi","Chamaecyparis","Spain","Spain","Southwestern Europe","Europe",2,"Yes"
