"plant_name","plant_name_full","Level.2","Level.1","Introduced","phyto.record","key.phyto.record","phyto.record.UK","key.phyto.record.UK","phyto.record.Scotland","key.phyto.record.Scotland","plant.in.GB"
"Rhododendron lapponicum","Rhododendron lapponicum","Northern Europe","Europe","0","","","","","","",""
"Rhododendron lapponicum","Rhododendron lapponicum","North-Central U.S.A.","Northern America","0","","","","","","",""
"Rhododendron lapponicum","Rhododendron lapponicum","China","Asia-Temperate","0","Yes","Yes","","","","",""
"Rhododendron lapponicum","Rhododendron lapponicum","Mongolia","Asia-Temperate","0","","","","","","",""
"Rhododendron lapponicum","Rhododendron lapponicum","Western Canada","Northern America","0","","","","","","",""
"Rhododendron lapponicum","Rhododendron lapponicum","Siberia","Asia-Temperate","0","","","","","","",""
"Rhododendron macrophyllum","Rhododendron macrophyllum","Western Canada","Northern America","0","","","","","","",""
"Rhododendron macrophyllum","Rhododendron macrophyllum","Southwestern U.S.A.","Northern America","0","","","","","","",""
"Rhododendron macrophyllum","Rhododendron macrophyllum","Northwestern U.S.A.","Northern America","0","","Yes","","","","",""
"Rhododendron maddenii","Rhododendron maddenii","China","Asia-Temperate","0","","","Yes","Yes","","",""
"Rhododendron maddenii","Rhododendron maddenii","Indian Subcontinent","Asia-Tropical","0","","","Yes","Yes","","",""
"Rhododendron luteum","Rhododendron luteum","Western Asia","Asia-Temperate","0","","","Yes","Yes","","","Yes"
"Rhododendron luteum","Rhododendron luteum","Northern Europe","Europe","1","Yes","Yes","Yes","Yes","","","Yes"
"Rhododendron luteum","Rhododendron luteum","Middle Europe","Europe","both","","","Yes","Yes","","","Yes"
"Rhododendron luteum","Rhododendron luteum","Southeastern Europe","Europe","0","","","Yes","Yes","","","Yes"
"Rhododendron luteum","Rhododendron luteum","Eastern Europe","Europe","0","","","Yes","Yes","","","Yes"
"Rhododendron luteum","Rhododendron luteum","Caucasus","Asia-Temperate","0","","","Yes","Yes","","","Yes"
"Rhododendron maximum","Rhododendron maximum","Northeastern U.S.A.","Northern America","0","","","","","","",""
"Rhododendron maximum","Rhododendron maximum","Southeastern U.S.A.","Northern America","0","","","","","","",""
"Rhododendron makinoi","Rhododendron makinoi","Eastern Asia","Asia-Temperate","0","Yes","Yes","","","","",""
"Rhododendron ponticum","Rhododendron ponticum","Southwestern Europe","Europe","both","","","Yes","Yes","Yes","Yes","Yes"
"Rhododendron ponticum","Rhododendron ponticum","Middle Europe","Europe","1","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Rhododendron ponticum","Rhododendron ponticum","Northern Europe","Europe","1","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Rhododendron ponticum","Rhododendron ponticum","Western Asia","Asia-Temperate","0","","","Yes","Yes","Yes","Yes","Yes"
"Rhododendron ponticum","Rhododendron ponticum","Southeastern Europe","Europe","0","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Rhododendron ponticum","Rhododendron ponticum","Caucasus","Asia-Temperate","0","","","Yes","Yes","Yes","Yes","Yes"
"Rhododendron ponticum","Rhododendron ponticum","Macaronesia","Africa","1","","","Yes","Yes","Yes","Yes","Yes"
"Rhododendron ponticum","Rhododendron ponticum","Indo-China","Asia-Tropical","1","","","Yes","Yes","Yes","Yes","Yes"
"Rhododendron pseudochrysanthum","Rhododendron pseudochrysanthum","Eastern Asia","Asia-Temperate","0","Yes","Yes","","","","",""
"Rhododendron morii","Rhododendron morii","Eastern Asia","Asia-Temperate","0","","","Yes","Yes","","",""
"Rhododendron mucronulatum","Rhododendron mucronulatum","Eastern Asia","Asia-Temperate","0","","","","","","",""
"Rhododendron mucronulatum","Rhododendron mucronulatum","Russian Far East","Asia-Temperate","0","","","","","","",""
