"plant_genus","Level.1","Introduced","phyto.record","key.phyto.record","phyto.record.UK","key.phyto.record.UK","phyto.record.Scotland","key.phyto.record.Scotland","In.GB"
"Helleborus","Africa","0","","","Yes","","Yes","","Yes"
"Heuchera","Northern America","0","Yes","Yes","Yes","","","","Yes"
"Heuchera","Asia-Temperate","0","","","Yes","","","","Yes"
"Heuchera","Europe","1","Yes","","Yes","","","","Yes"
"Hibbertia","Africa","0","","","","","","",""
"Hibbertia","Asia-Tropical","0","","","","","","",""
"Hibbertia","Australasia","0","Yes","Yes","","","","",""
"Hibbertia","Pacific","0","","","","","","",""
"Hibiscus","Europe","both","Yes","Yes","Yes","Yes","","","Yes"
"Hibiscus","Northern America","both","Yes","","Yes","Yes","","","Yes"
"Hibiscus","Pacific","both","Yes","","Yes","Yes","","","Yes"
"Hibiscus","Southern America","both","Yes","","Yes","Yes","","","Yes"
"Hibiscus","Africa","both","Yes","","Yes","Yes","","","Yes"
"Hibiscus","Asia-Temperate","both","Yes","","Yes","Yes","","","Yes"
"Hibiscus","Australasia","both","Yes","Yes","Yes","Yes","","","Yes"
"Hibiscus","Asia-Tropical","0","Yes","","Yes","Yes","","","Yes"
"Hovea","Australasia","0","Yes","Yes","","","","",""
"Hudsonia","Northern America","0","Yes","Yes","","","","",""
"Hydrangea","Southern America","both","","","Yes","","Yes","","Yes"
"Hydrangea","Northern America","both","Yes","Yes","Yes","","Yes","","Yes"
"Hydrangea","Australasia","1","","","Yes","","Yes","","Yes"
"Hydrangea","Pacific","0","Yes","Yes","Yes","","Yes","","Yes"
"Hydrangea","Asia-Tropical","0","","","Yes","","Yes","","Yes"
"Hydrangea","Europe","1","Yes","","Yes","","Yes","","Yes"
"Hydrangea","Asia-Temperate","0","Yes","","Yes","","Yes","","Yes"
"Hydrangea","Africa","1","","","Yes","","Yes","","Yes"
"Hydrangea","Antarctica","1","","","Yes","","Yes","","Yes"
"Hydrocotyle","Australasia","0","Yes","Yes","","","","","Yes"
"Hydrocotyle","Europe","0","","","","","","","Yes"
"Hydrocotyle","Northern America","0","","","","","","","Yes"
"Hydrocotyle","Asia-Tropical","0","","","","","","","Yes"
"Hydrocotyle","Pacific","both","","","","","","","Yes"
"Hydrocotyle","Asia-Temperate","both","","","","","","","Yes"
"Hydrocotyle","Africa","both","","","","","","","Yes"
"Hydrocotyle","Antarctica","0","","","","","","","Yes"
"Hydrocotyle","Southern America","both","","","","","","","Yes"
"Iberis","Africa","both","","","","","","","Yes"
"Iberis","Europe","both","Yes","Yes","","","","","Yes"
"Iberis","Australasia","1","","","","","","","Yes"
"Iberis","Asia-Temperate","both","","","","","","","Yes"
"Iberis","Northern America","1","Yes","Yes","","","","","Yes"
"Iberis","Southern America","1","","","","","","","Yes"
"Iberis","Asia-Tropical","1","","","","","","","Yes"
"Ilex","Southern America","both","","","Yes","Yes","Yes","Yes","Yes"
"Ilex","Australasia","both","","","Yes","Yes","Yes","Yes","Yes"
"Ilex","Asia-Tropical","0","","","Yes","Yes","Yes","Yes","Yes"
"Ilex","Northern America","both","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Ilex","Europe","both","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Ilex","Asia-Temperate","both","","","Yes","Yes","Yes","Yes","Yes"
"Ilex","Africa","0","","","Yes","Yes","Yes","Yes","Yes"
"Ilex","Pacific","0","","","Yes","Yes","Yes","Yes","Yes"
"Isopogon","Australasia","0","Yes","Yes","","","","",""
"Itea","Northern America","0","Yes","Yes","","","","",""
"Itea","Asia-Tropical","0","","","","","","",""
"Itea","Asia-Temperate","0","","","","","","",""
"Itea","Africa","0","","","","","","",""
"Dielsiodoxa","Australasia","0","Yes","Yes","","","","",""
"Loropetalum","Asia-Temperate","0","","","Yes","","","",""
"Loropetalum","Asia-Tropical","0","","","Yes","","","",""
"Populus","Northern America","0","Yes","","Yes","Yes","Yes","","Yes"
"Populus","Asia-Temperate","both","","","Yes","Yes","Yes","","Yes"
"Populus","Europe","both","Yes","Yes","Yes","Yes","Yes","","Yes"
"Populus","Africa","both","","","Yes","Yes","Yes","","Yes"
"Populus","Australasia","1","Yes","","Yes","Yes","Yes","","Yes"
"Populus","Southern America","1","Yes","","Yes","Yes","Yes","","Yes"
"Populus","Asia-Tropical","both","","","Yes","Yes","Yes","","Yes"
"Populus","Antarctica","1","","","Yes","Yes","Yes","","Yes"
"Salix","Asia-Temperate","0","Yes","","Yes","","Yes","","Yes"
"Salix","Europe","both","Yes","","Yes","","Yes","","Yes"
"Salix","Asia-Tropical","0","","","Yes","","Yes","","Yes"
"Salix","Africa","both","","","Yes","","Yes","","Yes"
"Salix","Northern America","0","Yes","Yes","Yes","","Yes","","Yes"
"Salix","Southern America","both","","","Yes","","Yes","","Yes"
"Salix","Pacific","1","","","Yes","","Yes","","Yes"
"Salix","Australasia","1","","","Yes","","Yes","","Yes"
"Salix","Antarctica","1","","","Yes","","Yes","","Yes"
"Idesia","Australasia","1","Yes","","","","","",""
"Idesia","Asia-Temperate","0","Yes","Yes","","","","",""
"Idesia","Northern America","1","","","","","","",""
"Solanum","Asia-Tropical","both","Yes","","Yes","","Yes","","Yes"
"Solanum","Australasia","both","Yes","","Yes","","Yes","","Yes"
"Solanum","Northern America","0","Yes","Yes","Yes","","Yes","","Yes"
"Solanum","Asia-Temperate","both","Yes","","Yes","","Yes","","Yes"
"Solanum","Pacific","both","Yes","Yes","Yes","","Yes","","Yes"
"Solanum","Africa","both","Yes","","Yes","","Yes","","Yes"
"Solanum","Southern America","both","Yes","Yes","Yes","","Yes","","Yes"
"Solanum","Europe","0","Yes","","Yes","","Yes","","Yes"
"Solanum","Antarctica","1","","","Yes","","Yes","","Yes"
"Chaenomeles","Europe","1","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
