"plant_genus","Level.2","Level.1","Introduced","phyto.record","key.phyto.record","phyto.record.UK","key.phyto.record.UK","phyto.record.Scotland","key.phyto.record.Scotland","In.GB"
"Corylus","Eastern Canada","Northern America","0","","","Yes","Yes","Yes","","Yes"
"Corylus","Southwestern U.S.A.","Northern America","0","","Yes","Yes","Yes","Yes","","Yes"
"Corylus","Eastern Asia","Asia-Temperate","0","","","Yes","Yes","Yes","","Yes"
"Corylus","Indo-China","Asia-Tropical","0","","","Yes","Yes","Yes","","Yes"
"Corymbia","East Tropical Africa","Africa","1","","","","","","",""
"Corymbia","West Tropical Africa","Africa","1","","","","","","",""
"Corymbia","Northeast Tropical Africa","Africa","1","","","","","","",""
"Corymbia","Northern Africa","Africa","1","","","","","","",""
"Corymbia","China","Asia-Temperate","1","","","","","","",""
"Corymbia","South Tropical Africa","Africa","1","","","","","","",""
"Corymbia","Southern Africa","Africa","1","Yes","Yes","","","","",""
"Corymbia","Australia","Australasia","0","Yes","Yes","","","","",""
"Corymbia","Indian Subcontinent","Asia-Tropical","1","","","","","","",""
"Corymbia","Western South America","Southern America","1","","","","","","",""
"Corymbia","West-Central Tropical Africa","Africa","1","","","","","","",""
"Corymbia","Caribbean","Southern America","1","","","","","","",""
"Corymbia","Western Indian Ocean","Africa","1","","","","","","",""
"Corymbia","Macaronesia","Africa","1","","","","","","",""
"Corymbia","Malesia","Asia-Tropical","1","","","","","","",""
"Corymbia","Papuasia","Asia-Tropical","0","","","","","","",""
"Corymbia","South-Central Pacific","Pacific","1","","","","","","",""
"Corymbia","Southeastern U.S.A.","Northern America","1","","","","","","",""
"Corymbia","Central America","Southern America","1","","","","","","",""
"Corymbia","Southwestern U.S.A.","Northern America","1","","","","","","",""
"Corymbia","North-Central Pacific","Pacific","1","Yes","Yes","","","","",""
"Corymbia","Eastern Asia","Asia-Temperate","1","Yes","","","","","",""
"Corymbia","Northwestern Pacific","Pacific","1","","","","","","",""
"Curtisia","Southern Africa","Africa","0","Yes","Yes","","","","",""
"Curtisia","Middle Atlantic Ocean","Africa","1","","","","","","",""
"Curtisia","South Tropical Africa","Africa","0","","","","","","",""
